trial_id	n	k	a	y	tx	generator_rows	parity_check_rows	max_generated_attempts	run_exhaustive	run_branch	branch_node_cap	branch_time_ms
0	16	11	19	0x21db	0x21db	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
1	16	11	19	0xc5a	0x195a	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
2	16	11	19	0x5ada	0x8ada	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
3	16	11	19	0x1c2b	0x3a2b	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
4	16	11	19	0x57a2	0xaf4a	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
5	16	11	19	0x6da1	0xd969	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
6	16	11	19	0x6a7	0xea7	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
7	16	11	19	0x19c2	0x31a2	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
8	16	11	19	0x7139	0xe9b9	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
9	16	11	19	0x5fb9	0xb7b9	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
10	16	11	19	0x7884	0xb884	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
11	16	11	19	0x36af	0x6d5f	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
12	16	11	19	0x67b3	0xcf46	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
13	16	11	19	0x337	0x66d	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
14	16	11	19	0x7e4a	0xfe4a	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
15	16	11	19	0x2097	0x5117	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
16	16	11	19	0x4ec8	0x9d88	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
17	16	11	19	0x7e13	0xf813	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
18	16	11	19	0x22af	0x46af	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
19	16	11	19	0x3f53	0xbf5b	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
20	16	11	19	0x1b71	0x3b71	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
21	16	11	19	0x693a	0xd216	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
22	16	11	19	0x26de	0x4cbe	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
23	16	11	19	0x6349	0xcb49	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
24	16	11	19	0x238	0x638	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
25	16	11	19	0x35ea	0x69ea	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
26	16	11	19	0x30b6	0x60b6	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
27	16	11	19	0x4019	0x801d	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
28	16	11	19	0x2e96	0x5d2e	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
29	16	11	19	0x7ebd	0xfd7d	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
30	16	11	19	0x310d	0x651d	0xe801,0x3002,0x1804,0x4808,0xb010,0x5820,0xb040,0xa080,0x900,0x5200,0x6400	0x92d,0x1276,0x24d3,0x4629,0x80d1	20000000	1	1	1000000	1500
31	16	11	19	0x49e0	0x93c0	0x2801,0x2802,0x3804,0x4008,0xd010,0x9020,0xf040,0x3080,0xb900,0xea00,0x8c00	0xf07,0x11f4,0x23c7,0x4258,0x8770	20000000	1	1	1000000	1500
32	16	11	19	0x335e	0x66b6	0xe001,0xc802,0x4804,0x2808,0x8810,0x8820,0x8840,0xc880,0xe900,0xba00,0x9400	0xbfe,0x1600,0x2309,0x4187,0x87f3	20000000	1	1	1000000	1500
33	16	11	19	0x280f	0x501f	0xb001,0x8002,0xc804,0x6008,0xc810,0x3820,0x5040,0x8080,0x6100,0x5200,0x2400	0x834,0x1261,0x2529,0x435c,0x8097	20000000	1	1	1000000	1500
