id	n	a	y	frontier	weights
0	2	3	0x1	0,0	5,4
1	2	4	0x0	1,1	4,4
2	2	19	0x1	1,1	7,0
3	2	99	0x1	2,2	1,7
4	2	3	0x0	0,1	3,6
5	2	4	0x0	0,1	1,0
6	2	19	0x0	0,2	3,6
7	2	99	0x0	1,0	6,5
8	2	3	0x0	1,2	2,4
9	2	4	0x1	2,2	7,6
10	2	19	0x0	0,2	5,7
11	2	99	0x0	2,1	3,7
12	2	3	0x1	1,1	4,2
13	2	4	0x1	0,0	6,6
14	2	19	0x0	0,2	7,6
15	2	99	0x0	0,1	5,3
16	2	3	0x0	1,2	4,5
17	2	4	0x1	2,2	4,2
18	3	3	0x0	0,0,0	4,7,5
19	3	4	0x2	1,1,1	7,6,4
20	3	19	0x0	2,2,2	2,7,0
21	3	99	0x1	3,3,3	6,6,5
22	3	3	0x2	0,1,2	3,3,3
23	3	4	0x0	0,1,0	3,6,6
24	3	19	0x2	2,1,3	6,2,1
25	3	99	0x2	1,1,0	2,3,1
26	3	3	0x3	2,3,3	4,4,7
27	3	4	0x3	3,1,0	1,5,3
28	3	19	0x3	0,3,1	1,4,6
29	3	99	0x1	2,1,2	6,2,7
30	3	3	0x0	1,2,2	7,4,6
31	3	4	0x1	3,0,1	5,2,1
32	3	19	0x0	0,2,3	5,0,1
33	3	99	0x1	1,2,3	6,4,7
34	3	3	0x2	1,0,1	6,0,6
35	3	4	0x2	1,0,1	5,0,4
36	4	3	0x6	0,0,0,0	2,3,3,7
37	4	4	0x0	1,1,1,1	1,7,0,0
38	4	19	0x7	3,3,3,3	1,3,3,2
39	4	99	0x3	4,4,4,4	0,1,2,2
40	4	3	0x3	0,1,2,0	1,1,6,7
41	4	4	0x3	0,1,0,1	5,7,5,5
42	4	19	0x7	2,0,4,0	2,7,3,4
43	4	99	0x0	1,0,3,3	5,3,7,3
44	4	3	0x0	2,4,3,0	5,1,4,5
45	4	4	0x5	3,4,4,4	6,0,4,2
46	4	19	0x1	1,0,0,1	2,6,5,4
47	4	99	0x0	1,4,2,2	7,0,3,4
48	4	3	0x5	2,2,2,3	3,6,6,4
49	4	4	0x6	4,0,2,0	4,0,7,2
50	4	19	0x0	1,1,0,3	4,3,1,0
51	4	99	0x5	4,0,2,4	1,5,2,4
52	4	3	0x4	0,2,3,0	4,4,7,4
53	4	4	0x4	4,2,1,3	3,0,0,7
54	5	3	0x0	0,0,0,0,0	0,0,5,7,4
55	5	4	0xc	1,1,1,1,1	4,6,3,0,7
56	5	19	0xe	4,4,4,4,4	6,2,3,7,6
57	5	99	0x3	5,5,5,5,5	6,0,7,4,6
58	5	3	0x3	0,1,2,0,1	1,7,4,0,7
59	5	4	0xf	0,1,0,1,0	6,4,3,3,2
60	5	19	0x9	1,4,0,1,3	6,7,1,7,4
61	5	99	0x1	2,0,0,4,4	6,3,3,5,6
62	5	3	0x9	2,0,3,4,0	1,2,5,1,6
63	5	4	0x3	0,2,3,2,4	5,4,3,4,3
64	5	19	0xd	5,1,3,3,1	1,4,6,7,3
65	5	99	0x3	4,4,0,2,3	3,4,5,1,7
66	5	3	0xe	0,5,2,3,2	7,1,5,7,4
67	5	4	0x8	4,1,0,5,0	1,3,6,4,4
68	5	19	0x1	5,5,5,3,1	0,6,3,6,0
69	5	99	0x4	5,1,1,1,5	4,0,5,7,7
70	5	3	0xc	4,5,1,2,3	2,1,3,4,4
71	5	4	0xa	3,0,1,4,4	4,7,5,7,7
72	6	3	0x10	0,0,0,0,0,0	5,2,3,4,5,7
73	6	4	0xb	1,1,1,1,1,1	6,6,7,7,0,1
74	6	19	0xd	5,5,5,5,5,5	3,4,2,6,1,0
75	6	99	0x1	6,6,6,6,6,6	0,3,1,7,2,4
76	6	3	0x18	0,1,2,0,1,2	3,2,7,5,7,1
77	6	4	0xf	0,1,0,1,0,1	1,4,6,2,5,6
78	6	19	0xa	3,3,4,3,1,4	7,4,7,2,4,7
79	6	99	0x10	2,2,3,0,1,5	7,1,3,0,4,5
80	6	3	0x1b	2,2,3,1,4,6	4,2,5,1,5,5
81	6	4	0x1b	3,6,6,2,2,6	6,1,3,5,5,2
82	6	19	0x5	1,3,4,6,4,6	0,5,5,6,6,1
83	6	99	0x1	1,0,5,3,6,1	0,0,3,2,0,3
84	6	3	0x1a	3,4,0,6,6,6	3,5,2,1,4,0
85	6	4	0x4	2,2,3,0,2,5	0,7,5,0,5,7
86	6	19	0xf	0,1,2,0,1,0	5,4,6,3,0,7
87	6	99	0xe	2,4,4,2,2,1	6,7,1,3,1,6
88	6	3	0xd	2,4,6,4,2,6	1,6,5,4,2,6
89	6	4	0x10	4,6,5,2,6,2	6,1,7,7,1,5
90	7	3	0x2	0,0,0,0,0,0,0	0,3,2,0,6,5,2
91	7	4	0x3a	1,1,1,1,1,1,1	3,3,6,3,5,5,2
92	7	19	0x28	6,6,6,6,6,6,6	2,2,6,3,3,3,5
93	7	99	0x25	7,7,7,7,7,7,7	2,2,1,4,0,4,3
94	7	3	0x1d	0,1,2,0,1,2,0	7,7,2,5,6,1,7
95	7	4	0x25	0,1,0,1,0,1,0	0,2,6,2,1,0,5
96	7	19	0x3	0,6,7,5,6,1,7	5,6,4,6,1,0,4
97	7	99	0x23	3,7,1,0,2,4,4	3,7,4,2,4,1,5
98	7	3	0x1	4,5,0,3,6,3,6	1,2,1,4,2,2,5
99	7	4	0x32	2,7,0,6,1,2,5	1,7,1,3,5,5,2
100	7	19	0x7	4,0,4,6,6,1,5	3,4,1,7,2,5,3
101	7	99	0x2f	5,4,7,0,1,7,3	5,6,3,7,2,7,1
102	7	3	0x38	6,4,1,6,1,7,6	2,3,1,3,3,1,6
103	7	4	0x39	6,1,6,2,4,7,5	1,5,1,3,6,4,5
104	7	19	0x2f	1,7,7,1,1,5,7	6,7,5,4,6,4,5
105	7	99	0x2e	3,5,2,4,7,4,3	3,4,7,0,1,2,2
106	7	3	0x4	7,5,2,1,1,6,0	2,5,0,1,3,1,1
107	7	4	0x4	2,6,1,1,0,0,7	3,4,1,1,0,3,4
108	8	3	0x14	0,0,0,0,0,0,0,0	6,3,4,3,3,3,1,5
109	8	4	0x49	1,1,1,1,1,1,1,1	5,2,3,4,7,2,4,2
110	8	19	0x63	7,7,7,7,7,7,7,7	6,2,1,7,0,7,2,1
111	8	99	0x12	8,8,8,8,8,8,8,8	6,4,3,2,6,5,4,0
112	8	3	0x58	0,1,2,0,1,2,0,1	6,6,0,6,5,0,1,7
113	8	4	0x1	0,1,0,1,0,1,0,1	4,3,6,4,5,2,7,0
114	8	19	0x5f	1,5,7,3,7,1,4,0	7,6,4,6,3,0,1,7
115	8	99	0x67	1,4,7,7,0,7,7,0	1,1,3,4,4,6,7,3
116	8	3	0x46	7,5,6,0,4,8,2,2	4,0,2,5,3,7,0,4
117	8	4	0xd	7,4,3,6,0,7,0,5	1,0,1,6,6,6,3,4
118	8	19	0x6e	1,7,7,5,8,1,2,8	7,3,1,1,6,1,3,2
119	8	99	0x13	7,4,1,2,1,1,5,3	0,3,5,5,3,6,5,0
120	8	3	0x5b	7,6,0,7,8,1,0,0	5,7,7,3,4,0,4,1
121	8	4	0x45	3,6,8,1,1,3,5,5	5,2,6,2,1,4,3,4
122	8	19	0xd	2,4,0,5,1,6,7,8	7,3,3,7,1,1,5,5
123	8	99	0x36	1,7,6,8,5,4,6,1	5,3,2,7,5,2,0,3
124	8	3	0x58	0,1,0,6,5,1,5,4	2,1,0,0,3,4,5,7
125	8	4	0x7f	1,1,3,2,1,6,3,7	2,3,1,0,6,3,4,7
126	9	3	0x21	0,0,0,0,0,0,0,0,0	5,4,3,7,3,1,2,6,2
127	9	4	0x76	1,1,1,1,1,1,1,1,1	2,2,4,3,7,6,5,3,7
128	9	19	0x9b	8,8,8,8,8,8,8,8,8	6,7,1,6,7,3,4,5,4
129	9	99	0xdf	9,9,9,9,9,9,9,9,9	5,7,2,2,3,4,6,5,4
130	9	3	0xbc	0,1,2,0,1,2,0,1,2	7,7,5,7,1,1,6,2,3
131	9	4	0x3f	0,1,0,1,0,1,0,1,0	5,0,3,5,5,5,4,5,6
132	9	19	0xd9	9,1,5,6,3,2,9,1,6	4,3,1,7,2,3,6,0,0
133	9	99	0x68	7,7,9,8,6,0,7,7,6	4,1,0,7,2,3,6,3,3
