trial_kind,n,family,p_num,p_den,paired_realizations,ind_paired_complete,ind_median_q_hist_ratio_forward_over_even_odd,ind_median_walltime_ratio_forward_over_even_odd,cr_paired_complete,cr_median_q_hist_ratio_forward_over_even_odd,cr_median_walltime_ratio_forward_over_even_odd,ac_paired_complete,ac_median_q_hist_ratio_forward_over_even_odd,ac_median_walltime_ratio_forward_over_even_odd
natural,16,crc_defined_linear,1,100,8,8,1.0,1.018845215516182,8,1.1114058355437666,0.04664396206877536,8,1.2223320158102768,1.4398528346241521
natural,16,crc_defined_linear,1,20,8,8,1.0,1.0214923820231245,8,1.0049603174603174,0.060574110702829434,8,1.0394628383019646,1.1130318822051695
natural,16,random_systematic_linear,1,100,8,8,1.0,1.0468668971831359,8,1.1091269841269842,0.05661485417328748,8,1.2045454545454546,1.1339359712887178
natural,16,random_systematic_linear,1,20,8,8,1.0,0.9871452458694323,8,1.0099502586077163,0.05313991314788985,8,1.077392786140301,1.4103625794160053
natural,24,crc_defined_linear,1,100,8,8,1.0,0.9804065283412196,8,1.0822510822510822,0.026826499507270632,8,1.2712418300653594,1.2447483429775577
natural,24,crc_defined_linear,1,20,8,8,1.0,1.0270937678455714,8,1.0013066202090593,0.09595818284737576,8,1.0793898156277435,1.4541320586947162
natural,24,random_systematic_linear,1,100,8,8,1.0,0.9717610490033959,8,1.0482568286050569,0.03371482955422239,8,1.2609243697478991,1.5655441027927106
natural,24,random_systematic_linear,1,20,8,8,1.0,0.9831684130363256,8,1.0030556367044619,0.08994329260133899,8,1.0261730562871916,1.5277280821823478
natural,32,crc_defined_linear,1,100,8,8,1.0,0.9717262740886827,8,1.0465676747259582,0.05024560523077842,8,1.0675491421429384,1.6666634690019495
natural,32,crc_defined_linear,1,20,8,8,1.0,0.9868752518954721,8,1.0003076668319815,0.07136298516390993,8,1.0064005469143944,1.695997331622789
natural,32,random_systematic_linear,1,100,8,8,1.0,1.0054764300676036,8,1.0019597045866804,0.05496287829473905,8,1.0418171714365103,1.6490369653460204
natural,32,random_systematic_linear,1,20,8,8,1.0,1.0590236496156455,8,1.000338721866027,0.06019788744757128,8,1.0071375229222639,1.6803316159570394
